year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1966,1,,,,,,
1971,1,,,137000,,137000,100
1977,1,,,31400,,31400,
1981,1,,,,,,
1983,1,,,,,,
1984,1,,,,,,
1988,1,,,,,,
1999,1,,,275000,,275000,900000
,,,,,,,
,,,,,,,
"Created on: May 07, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
