year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1964,1,,,625000,,625000,
1969,1,,,500000,,500000,2000
1998,1,,,,,,
1999,4,,,37509000,,37509000,3375000
2000,1,,,150000,,150000,
2008,1,,,1300000,,1300000,
,,,,,,,
,,,,,,,
"Created on: May 07, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
