,drought,sst
12,30,-3.538382337805654
13,32,-7.84850993076561
14,30,-15.507652278651035
15,30,-25.19198562154608
16,10,-23.034613606422923
17,16,-9.12532434810468
18,17,-9.265549635717882
19,13,-10.916796747224618
20,23,-6.905834852328211
21,19,-0.11200711683933473
22,46,-1.8830058639067744
23,55,-4.474893278258751
24,52,5.932610367951345
25,34,-1.9818799149491688
26,48,-7.33793571115011
27,40,-15.401317830943944
28,44,-36.8170806788238
29,18,-41.75849951892629
30,26,-43.57271045699132
31,32,-49.18371165883414
32,32,-48.04438533412693
33,33,-37.116781681093485
34,43,-26.483658988586498
35,54,-17.857854643099447
36,51,-2.64261073913547
37,78,-11.650343525618732
38,87,-13.587677249399551
39,98,-7.9866715132187815
40,65,-15.546750167399674
41,79,-12.81963647556335
42,85,-16.82052503317862
43,101,-20.020652208736276
44,89,-15.613161800960954
45,78,-1.0029927782390784
46,81,2.685059895619946
47,79,13.170467971326973
48,93,14.201080406918502
49,103,6.756115977347528
50,106,4.333739007694685
51,38,8.657410587326153
52,52,12.425041113186673
53,58,3.7215115050065344
54,70,-4.795937702071749
55,39,-10.272686918417882
56,38,-13.425573322099005
57,27,-17.012253897531934
58,29,-8.745519958027106
59,34,-8.023454028459978
60,34,-16.543153403574845
61,30,-20.776421915215955
62,26,-11.04506494604328
63,25,-24.94721199572605
64,35,-24.873834480546584
65,25,-30.22668608547634
66,22,-33.643627376280165
67,72,-36.581316651582874
68,75,-24.89661000887826
69,90,-14.371255977644381
70,64,-19.227806649209185
71,57,-17.316084127878142
72,55,-18.166679840534915
73,54,-19.10608679958613
74,57,-20.256029947848184
75,63,-10.939957639081591
76,68,-4.54626599850433
77,51,-1.620374213230046
78,56,-6.447090261773835
79,57,0.37703784465547097
80,57,10.73667524683006
81,54,18.90277479472506
82,63,19.868774584218563
83,69,33.035611788566335
84,74,41.855718775968704
85,83,50.27960767286459
86,93,47.240858660180756
87,107,36.60780917446975
88,117,32.06029052778213
89,108,27.321629865327928
90,78,20.321139632542653
91,101,10.641130359445661
92,153,-9.2113326023514
93,146,-17.976397348075203
94,182,-17.462772450961968
95,187,-10.469425579821475
96,175,-12.19292976485482
97,165,-18.157547895819626
98,164,-15.795262678313774
99,136,-21.15068371260388
100,77,-34.348621056152446
101,76,-38.48917979759228
102,94,-39.5158220709149
103,88,-40.7427983190139
104,31,-34.75564287192601
105,44,-33.602243644753074
106,35,-36.0432972432471
107,42,-42.66673362681515
108,51,-41.93507209046951
109,58,-41.17527397434426
110,49,-48.742919618809964
111,59,-52.31701745142039
112,78,-46.29486344081947
113,108,-45.061377056685444
114,86,-33.17590269418368
115,98,-33.92810128313032
116,123,-31.156120102888075
117,117,-38.121518592269986
118,108,-42.45467230697841
119,106,-34.89528329744345
120,91,-36.96477110223899
121,95,-24.064843454067606
122,100,-30.273924484351888
123,81,-27.922909724155417
124,94,-20.835596875467022
125,45,-13.647738892711228
126,52,-10.2881965841688
127,68,-14.777409364266417
128,74,-12.122813243990722
129,83,-9.047984578829995
130,71,5.334827180214742
131,64,7.709055466618929
132,68,7.828908006770141
133,57,14.902005558031577
134,51,32.241828349720464
135,99,24.169381332433137
136,93,33.492548782104336
137,159,30.28358392086261
138,150,39.293143354719966
139,57,41.11929784369719
140,35,48.15050853093786
141,12,43.18719742621309
142,7,40.34798695398845
143,16,25.214635559553884
144,18,30.94897506948198
145,18,26.75385487087803
146,23,26.196564694235438
147,2,11.963505773678907
148,6,-4.713624420530326
149,5,-23.02803518895543
150,4,-26.271004683249664
151,1,-20.465666296041384
152,9,-24.392394058066728
153,30,-34.654002002479984
154,44,-41.309835637025984
155,33,-45.981173988454366
156,14,-55.602901085215294
157,10,-51.20331510419124
158,4,-51.10265957156836
159,7,-50.43038769358002
160,12,-45.902552334976576
161,16,-40.72701238404353
162,14,-34.785697296662995
163,3,-40.57133420590013
164,4,-33.62161288265175
165,2,-35.50323703087802
166,12,-23.632148912265777
167,11,-5.006709552119666
168,21,-8.4959995462294
169,23,3.6748186521949595
170,43,-3.7057241374772354
171,33,3.0047570351991246
172,52,2.2680680327127978
173,47,-5.806412955320431
174,41,0.9395953768102925
175,32,0.3468273800253948
176,44,-1.2332361335889954
177,64,-2.730298081339637
178,73,-0.282524643255573
179,87,7.170404864820644
180,76,15.118354249609748
181,71,10.542923390879546
182,77,9.050791400352068
183,126,13.82818899739503
184,112,19.59820285467519
185,107,20.65570535414267
186,90,21.99512246766608
187,117,12.240078281983003
188,95,15.89224032119332
189,93,11.395497831195057
190,49,11.770048336603367
191,35,11.343888210718715
192,27,12.68152004249003
193,25,16.857053139018895
194,23,24.474716848313026
195,22,31.080019895719722
196,11,34.357760014608786
197,2,25.164403152423652
198,1,20.538898052461676
199,1,2.7344429591262163
200,12,-10.562998221675013
201,13,-16.140733101971506
202,19,-14.989686178227801
203,19,-18.76359012973886
204,33,4.5303689038123744
205,40,12.254312326079665
206,91,10.694977554789581
207,74,17.518271442602142
208,94,22.900537512361897
209,129,16.35443740810021
210,117,-2.7191940531533576
211,67,-7.582983721739494
212,62,-3.415822038089283
213,54,-0.4995713187392654
214,77,-3.7379910397929397
215,51,-8.320609232913583
216,48,-1.723321162983778
217,48,-9.736438910934377
218,37,-9.80449703819465
219,30,0.9082557047696664
220,15,6.500004200117405
221,32,1.0226217669382967
222,45,-1.2987002787986208
223,61,-1.121946851317727
224,63,2.402416610734391
225,56,20.68387388621727
226,56,13.02665219821202
227,67,9.346680304337212
228,54,15.512379685235487
229,37,18.60190811023275
230,54,13.127731723412744
