,drought,sst2,sst41,sst72,drought1,drought12
13,32,-7.848509923193138,0.9895854690590445,-3.4492858257960246,30.0,54.0
14,30,-15.507652271857781,-0.08115602361095942,-5.87940252629056,32.0,38.0
15,30,-25.19198561976411,1.6412783108377174,-2.686438798037907,30.0,42.0
16,10,-23.034613608935242,-1.7335667763529654,-4.68458966576735,30.0,43.0
17,16,-9.125324354560265,3.3429700150915433,-1.2370734976170745,10.0,53.0
18,17,-9.265549648371826,3.0363965630379486,-1.9034641819011648,16.0,66.0
19,13,-10.91679674970696,-7.276629108125839,-4.469710277370866,17.0,56.0
20,23,-6.90583485528911,0.2897982229017365,-4.3195152033423145,13.0,53.0
21,19,-0.1120071148404787,2.598601761727286,-4.171664816380797,23.0,46.0
22,46,-1.883005858719721,-3.4427412546707723,3.109161367383301,19.0,54.0
23,55,-4.47489327675124,5.684500829740176,5.999748552083589,46.0,35.0
24,52,5.932610363067829,2.5663517744892053,-3.3901094495672943,55.0,41.0
25,34,-1.9818799257867403,1.644395442778193,-0.03807892709077923,52.0,30.0
26,48,-7.33793571286167,-5.9068314923647645,-1.4796614049450214,34.0,32.0
27,40,-15.401317829520371,-0.14676968657559963,0.4709900723472342,48.0,30.0
28,44,-36.81708066925592,-0.7741373164088474,0.3505621839224047,40.0,30.0
29,18,-41.758499506594475,-6.730534650904914,-1.304254839965536,44.0,10.0
30,26,-43.5727104502756,-6.785446927475375,0.7475475321363884,18.0,16.0
31,32,-49.183711647376164,-0.806297227956033,1.7602116505229257,26.0,17.0
32,32,-48.044385325492996,0.15486350173698846,3.8136038738824336,32.0,13.0
33,33,-37.11678168121417,-11.054118634921746,1.2628082843916668,32.0,23.0
34,43,-26.48365898040111,-8.513270036566029,-0.569913601049167,33.0,19.0
35,54,-17.85785463639471,0.507029191809362,4.2861787577580674,43.0,46.0
36,51,-2.64261073328669,-2.529715281277772,1.8952258448290975,54.0,55.0
37,78,-11.65034352330089,1.7493778291395108,2.757526548562421,51.0,52.0
38,87,-13.587677251767586,-0.912251295634023,-4.107011647340445,78.0,34.0
39,98,-7.986671514710513,-0.1327099035418151,-4.0591132696776615,87.0,48.0
40,65,-15.546750173813605,2.0595288232176125,-1.5163354534758704,98.0,40.0
41,79,-12.819636479731916,6.292915223009674,0.9029490684025209,65.0,44.0
42,85,-16.820525029819763,2.515463220003806,-2.7373082139604152,79.0,18.0
43,101,-20.02065220436345,7.356214452754887,-4.240282770746538,85.0,26.0
44,89,-15.613161795268823,2.939502066732948,-5.0779400796256455,101.0,32.0
45,78,-1.002992771734818,3.9533800289056056,0.9103243109207588,89.0,32.0
46,81,2.685059898414848,-4.991736917953034,11.94404187644769,78.0,33.0
47,79,13.170467973790808,-7.285674707290527,5.9721151474317375,81.0,43.0
48,93,14.201080412286258,-3.155974642853119,2.8715389191657437,79.0,54.0
49,103,6.756115969912755,-0.8541442092736418,-1.7288078010270296,93.0,51.0
50,106,4.333738996841598,0.7630553880214827,5.4543033193694255,103.0,78.0
51,38,8.657410593839288,1.6131967139253174,6.762819964321974,106.0,87.0
52,52,12.425041117523023,3.3208789657774767,6.530577862199733,38.0,98.0
53,58,3.721511508094731,7.24819385280234,-1.9606909164892752,52.0,65.0
54,70,-4.795937706409128,-3.5765763035314673,-4.909769048114402,58.0,79.0
55,39,-10.272686929182084,-0.40212868181842276,-2.1488197659425934,70.0,85.0
56,38,-13.425573326045564,-8.626358971999892,-5.1383378445074905,39.0,101.0
57,27,-17.012253899823556,-10.059219677671784,-2.5828281264950292,38.0,89.0
58,29,-8.745519957951737,-0.17421035184132083,2.056675368005983,27.0,78.0
59,34,-8.023454020317141,-4.350852057544186,3.0339552029452657,29.0,81.0
60,34,-16.54315338854603,-4.8622142928471686,-1.1367623624917158,34.0,79.0
61,30,-20.77642191549352,-1.951256039463883,4.541433379200738,34.0,93.0
62,26,-11.045064950178872,-1.6662813152014717,4.508893687464875,30.0,103.0
63,25,-24.947211989385114,3.2222493425040355,-0.8009714333176623,26.0,106.0
64,35,-24.873834473516055,3.9740351950984256,-1.5465617824119438,25.0,38.0
65,25,-30.22668610428598,8.821710442604342,-0.8532371889884129,35.0,52.0
66,22,-33.64362739596652,12.647282187397858,-1.4621604155354058,25.0,58.0
67,72,-36.58131665389667,8.876337609580503,-0.2200739108935205,22.0,70.0
68,75,-24.89661001588378,3.6013977685379306,-1.8780155399442138,72.0,39.0
