year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1964,1,,,5000,,5000,
1965,1,,,60000,,60000,
1968,2,,,264000,,264000,2000
1970,1,,,87600,,87600,2000
1979,1,,,6000000,,6000000,
1980,1,,,,,,
1981,2,100000,,4830000,,4830000,
1982,5,,,1037300,,1037300,1000
1983,2,,,500000,,500000,
1985,1,,,500000,,500000,
1986,1,,,850000,,850000,
1987,1,50,,8000,,8000,
1988,1,,,1320000,,1320000,
1989,1,,,1900000,,1900000,
1991,5,,,10250000,,10250000,1150000
1992,2,,,431500,,431500,
1995,3,,,1736404,,1736404,
1997,1,,,105000,,105000,
1998,3,,,80000,,80000,1000
2001,4,58,,6100000,,6100000,
2002,3,9,,1445000,,1445000,
2003,1,9,,119500,,119500,
2004,2,,,15025000,,15025000,
2005,2,,,2600000,,2600000,
2007,3,,,3095000,,3095000,
2008,1,,,500000,,500000,
2010,2,,,2127618,,2127618,
2011,1,,,725515,,725515,
2012,1,,,1833900,,1833900,
2013,2,,,5080000,,5080000,564000
2015,3,,,3280000,,3280000,354000
2016,2,,,3279000,,3279000,
2017,2,,,1420000,,1420000,1200000
2019,5,,,9110644,,9110644,135000
,,,,,,,
,,,,,,,
"Created on: May 07, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
