year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1927,1,3000,,,,,
1951,1,131,,,,,
1952,1,25,,,,,
1954,1,30,,,,,
1962,1,40,,,,,
1963,3,169,10,80400,,80410,
1964,3,125,,21000,,21000,3000
1965,2,75,,47813,,47813,5000
1966,1,57,12,20000,15900,35912,10000
1967,1,20,,30000,,30000,3000
1969,2,616,237,471269,,471506,110000
1970,1,11,3,266441,,266444,30000
1973,3,132,,129240,61000,190240,15000
1974,1,11,,20000,,20000,30000
1975,1,10,,12000,,12000,
1977,1,,,,38000,38000,
1979,3,16,,36310,732,37042,
1981,1,43,50,,,50,
1982,2,154,14,38500,,38514,90000
1984,1,54,,,1470,1470,
1985,1,26,,,15000,15000,
1986,1,23,,,2500,2500,
1990,1,37,,152000,,152000,242800
1992,1,21,8,,2250,2258,900
1993,1,22,16,,,16,
1994,2,40,,1200,30000,31200,
1995,3,791,,38000,,38000,9000
1996,2,29,101,60000,,60101,55000
1997,2,64,,,3000,3000,
1999,1,12,2,,700,702,
2000,6,50,5,1050,100,1155,
2001,2,936,423,45300,,45723,302200
2002,4,128,37,17285,,17322,201500
2003,6,88,50,37000,,37050,
2004,2,22,20,27545,,27565,
2005,2,12,,70,1750,1820,7256
2006,4,18,,62100,,62100,1200
2007,8,98,5,7800,,7805,43061
2008,3,132,50,79000,,79050,348000
2009,5,94,76,9500,2500,12076,
2010,2,42,9,77000,,77009,29000
2011,1,10,43,750,,793,779000
2012,2,69,101,,,101,
2014,1,11,,,,,
2015,2,12,,35000,,35000,
2018,3,19,,30200,,30200,36000
2019,1,17,29,,,29,
,,,,,,,
,,,,,,,
"Created on: May 20, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
