year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1964,1,50,,700000,,700000,
1965,2,2000,,1760000,,1760000,
1967,2,,,78483,,78483,200
1969,2,,,1700000,,1700000,1000
1971,1,,,150000,,150000,1500
1973,1,100000,,3000000,,3000000,76000
1974,1,19000,,230000,,230000,
1977,1,,,20000,,20000,
1979,2,,,540000,,540000,
1980,2,,,145000,,145000,
1981,1,,,1000000,,1000000,
1983,3,300000,,7830000,,7830000,
1984,2,,,2500000,,2500000,
1987,3,967,,8100000,,8100000,
1988,4,200,,1143500,,1143500,
1989,1,,,6500000,,6500000,
1991,2,,,3500000,,3500000,
1994,1,,,1200000,,1200000,
1996,2,,,3100000,,3100000,
1997,2,,,2586200,,2586200,
1998,2,,,126000,,126000,17200
1999,3,200,,28600000,,28600000,
2000,2,21,,1431290,,1431290,
2001,1,,,100000,,100000,
2002,2,79,,1255000,,1255000,
2003,2,,,14500000,,14500000,
2004,3,80,,2754000,,2754000,
2005,6,29,,6864000,,6864000,
2006,1,,,3700000,,3700000,
2007,1,,,42750,,42750,
2008,6,4,,15660000,,15660000,
2009,1,,,6200000,,6200000,
2010,2,20000,,4200258,,4200258,
2011,5,,,14524679,,14524679,
2012,2,,,4000000,,4000000,
2014,3,,,2155624,,2155624,
2015,2,,,14900000,,14900000,1400000
2016,2,,,4140000,,4140000,
2018,1,,,1260000,,1260000,
2019,2,,,4100000,,4100000,
,,,,,,,
,,,,,,,
"Created on: May 05, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
