year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1968,1,,,25000,,25000,74700
1973,1,,,13000,,13000,
1988,2,2,,11000,,11000,
1989,2,7,,9800,,9800,
1990,1,23,500,15000,12000,27500,
1991,2,7,,2000000,200,2000200,
1994,4,45,,26500,1550,28050,
1995,4,148,,611957,276957,888914,12500
1996,2,35,,16000,1500,17500,
1997,1,,,26000,9506,35506,
1998,3,,,50405,9200,59605,59
1999,7,80,29,481573,74919,556521,21000
2000,1,3,,500,,500,
2001,4,92,51,152000,6500,158551,
2002,4,44,40,9700,48000,57740,
2003,3,1,,,1721,1721,
2004,1,3,,,12698,12698,
2005,3,4,7,,25798,25805,
2006,5,7,,11370,8600,19970,
2007,7,138,194,489980,30465,520639,
2008,6,36,81,127185,2295,129561,
2009,5,41,,164545,11000,175545,
2010,10,119,95,205434,4800,210329,
2011,5,20,12,102967,2000,104979,
2012,6,46,89,103395,40490,143974,2000
2013,3,5,,58798,,58798,
2014,4,200,1000,250000,3750,254750,15000
2015,6,94,,220560,5000,225560,12000
2016,4,80,7,2628,10000,12635,
2017,6,123,25,1032650,500,1033175,
2018,3,105,17,125000,15743,140760,
2019,6,125,73,544980,5000,550053,
,,,,,,,
,,,,,,,
"Created on: May 20, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
