(1, -10),177
(52, -10),251
(2, -11),269
(67, -12),166
(58, -4),489
(8, -12),276
(18, -3),190
(38, -8),116
(76, -2),236
(43, -11),181
(6, -5),476
(50, -2),248
(22, -8),315
(0, -12),109
(67, -9),150
(75, -4),142
(57, -6),118
(48, -10),289
(14, -6),257
(17, -7),110
(67, -6),324
(70, -6),393
(21, -7),211
(33, -8),345
(0, -11),176
(52, -7),144
(71, -6),315
(54, -6),367
(10, -7),284
(38, -2),193
(29, -10),282
(1, -4),360
(40, -4),272
(23, -5),192
(39, -10),237
(68, -2),422
(55, -2),132
(34, -11),355
(72, -11),331
(2, -12),109
(52, -2),208
(5, -8),179
(46, -11),191
(49, -6),327
(0, -2),200
(72, -6),185
(14, -3),487
(64, -4),254
