(1, -10),421
(52, -10),171
(2, -11),193
(66, -1),324
(67, -12),155
(58, -4),216
(8, -12),125
(18, -3),203
(76, -2),178
(38, -8),77
(43, -11),220
(6, -5),98
(50, -2),104
(22, -8),70
(0, -12),70
(67, -9),211
(75, -4),228
(70, -1),130
(57, -6),73
(48, -10),183
(14, -6),213
(41, -1),197
(17, -7),309
(67, -6),123
(70, -6),187
(21, -7),71
(33, -8),296
(52, -7),221
(0, -11),167
(71, -6),145
(54, -6),337
(10, -7),70
(38, -2),249
(29, -10),78
(1, -4),379
(40, -4),124
(23, -5),195
(39, -10),138
(68, -2),445
(55, -2),187
(34, -11),204
(72, -11),117
(2, -12),70
(5, -8),82
(52, -2),89
(46, -11),70
(49, -6),257
(0, -2),133
(72, -6),197
(14, -3),83
(64, -4),110
