(1, -10),38
(52, -10),43
(2, -11),335
(67, -12),169
(58, -4),452
(8, -12),90
(18, -3),41
(38, -8),113
(76, -2),52
(43, -11),350
(6, -5),76
(50, -2),31
(22, -8),129
(0, -12),31
(67, -9),42
(75, -4),200
(57, -6),36
(48, -10),84
(14, -6),368
(17, -7),202
(67, -6),178
(70, -6),312
(21, -7),36
(33, -8),122
(0, -11),129
(52, -7),37
(71, -6),166
(54, -6),352
(10, -7),31
(38, -2),157
(29, -10),31
(1, -4),322
(40, -4),338
(23, -5),202
(39, -10),57
(68, -2),89
(55, -2),109
(34, -11),125
(72, -11),484
(2, -12),500
(52, -2),447
(5, -8),412
(46, -11),31
(49, -6),80
(0, -2),466
(72, -6),62
(14, -3),32
(64, -4),252
