(1, -10),348
(52, -10),160
(2, -11),279
(66, -1),369
(67, -12),243
(58, -4),439
(8, -12),301
(18, -3),173
(76, -2),242
(38, -8),326
(43, -11),357
(6, -5),336
(50, -2),286
(22, -8),362
(0, -12),158
(67, -9),248
(75, -4),238
(70, -1),239
(57, -6),329
(48, -10),198
(14, -6),397
(41, -1),337
(17, -7),166
(67, -6),386
(70, -6),300
(21, -7),319
(33, -8),262
(0, -11),279
(52, -7),163
(71, -6),161
(54, -6),314
(10, -7),226
(38, -2),259
(29, -10),237
(1, -4),466
(40, -4),341
(23, -5),222
(39, -10),428
(68, -2),406
(55, -2),164
(34, -11),372
(72, -11),357
(2, -12),158
(52, -2),306
(5, -8),454
(46, -11),270
(49, -6),441
(0, -2),162
(72, -6),215
(14, -3),403
(64, -4),439
