(1, -10),251
(52, -10),436
(2, -11),394
(67, -12),383
(58, -4),486
(8, -12),251
(18, -3),251
(38, -8),489
(43, -11),259
(6, -5),404
(22, -8),412
(0, -12),251
(67, -9),266
(75, -4),366
(57, -6),253
(48, -10),298
(14, -6),494
(17, -7),344
(67, -6),429
(70, -6),435
(21, -7),251
(33, -8),378
(0, -11),410
(52, -7),251
(71, -6),310
(54, -6),405
(10, -7),375
(29, -10),353
(1, -4),486
(40, -4),291
(23, -5),323
(39, -10),311
(34, -11),473
(72, -11),494
(2, -12),500
(5, -8),496
(46, -11),251
(49, -6),319
(72, -6),341
(14, -3),493
(64, -4),313
