(1, -10),106
(52, -10),120
(2, -11),249
(67, -12),191
(58, -4),232
(8, -12),117
(18, -3),103
(38, -8),186
(43, -11),227
(6, -5),103
(22, -8),272
(0, -12),103
(67, -9),219
(75, -4),189
(57, -6),103
(48, -10),128
(14, -6),108
(17, -7),218
(67, -6),192
(70, -6),358
(21, -7),108
(33, -8),300
(52, -7),178
(0, -11),105
(71, -6),179
(54, -6),276
(10, -7),330
(29, -10),279
(1, -4),379
(40, -4),124
(23, -5),233
(39, -10),107
(34, -11),155
(72, -11),368
(2, -12),500
(5, -8),488
(46, -11),198
(49, -6),106
(72, -6),213
(14, -3),459
(64, -4),297
