(1, -10),7
(52, -10),320
(2, -11),165
(67, -12),129
(58, -4),487
(8, -12),54
(18, -3),311
(38, -8),16
(43, -11),5
(6, -5),342
(22, -8),478
(0, -12),4
(67, -9),13
(75, -4),33
(57, -6),151
(48, -10),284
(14, -6),145
(17, -7),8
(67, -6),142
(70, -6),273
(21, -7),64
(33, -8),461
(52, -7),228
(0, -11),125
(71, -6),50
(54, -6),306
(10, -7),100
(29, -10),233
(1, -4),122
(40, -4),233
(23, -5),6
(39, -10),40
(34, -11),278
(72, -11),321
(2, -12),4
(5, -8),192
(46, -11),106
(49, -6),367
(72, -6),99
(14, -3),471
(64, -4),290
