(1, -10),368
(52, -10),190
(2, -11),223
(66, -1),272
(67, -12),461
(58, -4),484
(8, -12),271
(18, -3),464
(38, -8),258
(76, -2),180
(43, -11),171
(6, -5),116
(50, -2),121
(22, -8),139
(0, -12),115
(67, -9),239
(75, -4),389
(70, -1),124
(57, -6),124
(48, -10),406
(14, -6),464
(41, -1),500
(17, -7),161
(67, -6),210
(70, -6),264
(21, -7),119
(33, -8),248
(0, -11),224
(52, -7),117
(71, -6),241
(54, -6),480
(10, -7),181
(38, -2),410
(29, -10),115
(1, -4),483
(40, -4),244
(23, -5),202
(39, -10),396
(68, -2),369
(55, -2),193
(34, -11),122
(72, -11),432
(2, -12),500
(52, -2),323
(5, -8),310
(46, -11),272
(49, -6),131
(0, -2),142
(72, -6),126
(14, -3),115
(64, -4),453
