(1, -10),50
(52, -10),364
(2, -11),171
(67, -12),99
(58, -4),355
(8, -12),91
(38, -8),153
(43, -11),210
(6, -5),351
(22, -8),499
(0, -12),50
(67, -9),183
(75, -4),234
(57, -6),185
(48, -10),350
(14, -6),62
(17, -7),51
(67, -6),120
(70, -6),252
(21, -7),98
(33, -8),310
(52, -7),183
(0, -11),83
(71, -6),217
(54, -6),370
(10, -7),180
(29, -10),325
(1, -4),213
(40, -4),246
(23, -5),73
(39, -10),140
(34, -11),98
(72, -11),298
(2, -12),50
(5, -8),58
(46, -11),52
(49, -6),272
(72, -6),207
(64, -4),109
