iter	RMSE
0	36.08025442
1	35.41663133
2	34.76479222
3	34.15188348
4	33.56055355
5	33.04073051
6	32.46623875
7	31.95536019
8	31.32019428
9	30.8279837
10	30.35896977
11	29.90774276
12	29.41484915
13	29.04881812
14	28.63369421
15	28.19943121
16	27.78869081
17	27.48016554
18	27.07154323
19	26.77912789
20	26.43827886
21	26.08638606
22	25.7791793
23	25.41954828
24	25.0424348
25	24.64514504
26	24.37899279
27	24.07640726
28	23.83292297
29	23.55415596
30	23.30271493
31	23.09880551
32	22.83321156
33	22.6110766
34	22.31893967
35	22.06202873
36	21.85875508
37	21.67984543
38	21.51868769
39	21.34337713
40	21.18678672
41	21.02253086
42	20.80497795
43	20.58829484
44	20.43171201
45	20.32920282
46	20.20324008
47	20.07290316
48	19.88093756
49	19.70290721
50	19.61901085
51	19.44405997
52	19.34693952
53	19.25379107
54	19.10518912
55	19.01564555
56	18.92831949
57	18.79862051
58	18.74523295
59	18.60941139
60	18.48860852
61	18.40430864
62	18.28623447
63	18.22330389
64	18.13446459
65	18.050018
66	17.99972521
67	17.92783438
68	17.82991881
69	17.7553289
70	17.70219901
71	17.62272699
72	17.56637119
73	17.50960835
74	17.46273454
75	17.39748388
76	17.33605337
77	17.26428695
78	17.21822438
79	17.17192181
80	17.11648185
81	17.06095607
82	17.01824911
83	16.96325175
84	16.90612065
85	16.8555905
86	16.80399201
87	16.75212486
88	16.71150842
89	16.66685865
90	16.63468999
91	16.60568802
92	16.58258455
93	16.54553985
94	16.51818544
95	16.47698542
96	16.43434132
97	16.40615623
98	16.39018967
99	16.36638583
100	16.34142529
101	16.30461805
102	16.27878012
103	16.25489357
104	16.23704865
105	16.21099382
106	16.1808248
107	16.14787351
108	16.12858652
109	16.09740784
110	16.08529097
111	16.06020423
112	16.04822042
113	16.03185779
114	16.00317009
115	15.98615491
116	15.9658517
117	15.9431797
118	15.92110275
119	15.89336029
120	15.88564923
121	15.86828805
122	15.85207331
123	15.82957316
124	15.80935722
125	15.7926866
126	15.77689684
127	15.75464003
128	15.72892374
129	15.70615631
130	15.68657294
131	15.68159129
132	15.65899224
133	15.64831076
134	15.63177304
135	15.61645559
136	15.61341982
137	15.6029652
138	15.58717684
139	15.57277577
140	15.56317613
141	15.54822837
142	15.54240889
143	15.53507985
144	15.52709228
145	15.52128444
146	15.51356858
147	15.51108672
148	15.50000158
149	15.48981149
150	15.48116669
151	15.46698583
152	15.46397617
153	15.45441027
154	15.43850723
155	15.42943678
156	15.42062185
157	15.41345653
158	15.40279291
159	15.38189016
160	15.36665149
161	15.35528912
162	15.34535644
163	15.33590305
164	15.33190323
165	15.32167561
166	15.31220181
167	15.30175811
168	15.28821965
169	15.27737443
170	15.27124872
171	15.26372115
172	15.25720148
173	15.24922662
174	15.24752201
175	15.24323365
176	15.23228135
177	15.22241942
178	15.21713691
179	15.21337887
180	15.2026782
181	15.19974845
182	15.19093086
183	15.17557259
184	15.1702935
185	15.16550832
186	15.16185644
187	15.15870693
188	15.15487729
189	15.14491711
190	15.13741634
191	15.12897974
192	15.12237018
193	15.11428013
194	15.10710565
195	15.09929503
196	15.08858288
197	15.07961047
198	15.0656402
199	15.06270077
200	15.0615307
201	15.05446701
202	15.04848468
203	15.04103978
204	15.0373303
205	15.03334204
206	15.02643767
207	15.00909961
208	15.00552237
209	15.00328173
210	14.9968329
211	14.99354693
212	14.98929184
213	14.98846115
214	14.98251771
215	14.97670668
216	14.97284193
217	14.96600011
218	14.95184091
219	14.95114488
220	14.94964781
221	14.94885788
222	14.93995318
223	14.93653695
224	14.9345867
225	14.93289376
226	14.92876798
227	14.92542687
228	14.92323318
229	14.91408826
230	14.90789384
231	14.89342074
232	14.88676783
233	14.87300175
234	14.8672503
235	14.86576067
236	14.85873417
237	14.85333484
238	14.84825924
239	14.84392672
240	14.84244413
241	14.83642301
242	14.8335269
243	14.82767336
244	14.82252963
245	14.81892795
246	14.81088807
247	14.8083923
248	14.8054474
249	14.79886543
250	14.7937461
251	14.78524014
252	14.78271666
253	14.77944275
254	14.77553907
255	14.77146926
256	14.76805133
257	14.76312199
258	14.7601647
259	14.75082737
260	14.74736758
261	14.74176492
262	14.73731232
263	14.73460226
264	14.73105842
265	14.72628525
266	14.72581089
267	14.72126486
268	14.71592556
269	14.71333513
270	14.70736575
271	14.70435735
272	14.70272846
273	14.7002267
274	14.69945546
275	14.6964621
276	14.69104107
277	14.68783919
278	14.68528327
279	14.68292514
280	14.67819852
281	14.67544434
282	14.66956746
283	14.66692458
284	14.66440769
285	14.66074362
286	14.65693241
287	14.65171221
288	14.64918185
289	14.64631231
290	14.64383899
291	14.64159063
292	14.63918875
293	14.63653349
294	14.63427931
295	14.63054547
296	14.62383593
297	14.620473
298	14.61773124
299	14.6154733
300	14.61340084
301	14.61073126
302	14.6084988
303	14.60284348
304	14.60064522
305	14.59877323
306	14.59670843
307	14.59503361
308	14.59332836
309	14.58786124
310	14.58631909
311	14.5843728
312	14.5822972
313	14.57980456
314	14.57601569
315	14.57251617
316	14.56930567
317	14.56698863
318	14.5617811
319	14.56133101
320	14.55422538
321	14.5531877
322	14.54835941
323	14.54619564
324	14.54470514
325	14.54365469
326	14.54170931
327	14.5377518
328	14.5354888
329	14.53353832
330	14.53119815
331	14.52685027
332	14.52501391
333	14.52274812
334	14.51606757
335	14.51437826
336	14.5121777
337	14.51015178
338	14.50848186
339	14.50698168
340	14.50436375
341	14.50260714
342	14.50087941
343	14.49918006
344	14.49821738
345	14.4971648
346	14.49504232
347	14.48469756
348	14.4832803
349	14.4816313
350	14.47785947
351	14.47693023
