year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1903,1,,,,,,
1906,1,,,,,,
1910,6,85000,,32000,,32000,
1940,6,,,,,,
1965,1,,,46000,,46000,
1966,5,,,,,,
1969,4,,,4575000,,4575000,191800
1972,1,,,115000,,115000,
1976,1,,,1420000,,1420000,
1977,2,,,4157000,,4157000,300000
1978,2,,,27000,,27000,25500
1979,1,,,950000,,950000,
1980,5,,,7850000,,7850000,
1981,2,3000,,1500000,,1500000,
1982,1,,,1200000,,1200000,
1983,4,150000,,13500000,,13500000,71754
1987,1,,,3450000,,3450000,
1988,2,,,1200000,,1200000,
1990,3,,,4830000,,4830000,
1991,2,,,8902000,,8902000,
1993,2,,,746507,,746507,
1995,1,,,75590,,75590,
1996,1,,,160000,,160000,
1997,3,,,385900,,385900,
1998,2,12,,20700,,20700,
2000,1,,,2000000,,2000000,
2001,5,,,5384558,,5384558,
2002,1,,,284000,,284000,
2005,2,,,4000000,,4000000,
2006,1,,,25000,,25000,
2009,2,,,10300000,,10300000,
2010,2,,,1438000,,1438000,
2011,5,,,10923000,,10923000,
2012,2,,,4800000,,4800000,
2014,2,,,4639702,,4639702,
2015,2,,,3388128,,3388128,
2017,3,,,6911874,,6911874,
2018,1,,,350600,,350600,
,,,,,,,
,,,,,,,
"Created on: May 07, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
