,drought,sst
0,54,-3.5383823355238713
1,38,-7.848509916269308
2,42,-15.507652265448614
3,43,-25.19198562065499
4,53,-23.03461361222349
5,66,-9.125324356984159
6,56,-9.265549650450067
7,53,-10.91679675107576
8,46,-6.905834850424037
9,54,-0.11200711048489997
10,35,-1.8830058531976441
11,41,-4.4748932715913305
12,30,5.932610365279072
13,32,-1.9818799220134566
14,30,-7.3379357135276635
15,30,-15.401317827935923
16,10,-36.817080668575706
17,16,-41.7584995121049
18,17,-43.572710457880035
19,13,-49.18371165109599
20,23,-48.044385322587466
21,19,-37.11678167823903
22,46,-26.48365898750368
23,55,-17.857854635546875
24,52,-2.6426107325636017
25,34,-11.650343527020077
26,48,-13.587677253727714
27,40,-7.986671510230641
28,44,-15.546750179695307
29,18,-12.81963647621259
30,26,-16.820525024681153
31,32,-20.020652202436214
32,32,-15.613161794258192
33,33,-1.002992770581475
34,43,2.6850598980873803
35,54,13.170467975824689
36,51,14.20108041511312
37,78,6.75611597203195
38,87,4.333739002190249
39,98,8.657410595585041
40,65,12.425041116338653
41,79,3.7215115079751775
42,85,-4.795937707636856
43,101,-10.272686930172261
44,89,-13.425573329254721
45,78,-17.01225390711946
46,81,-8.745519964595506
47,79,-8.023454025498692
48,93,-16.543153396824884
49,103,-20.776421920794295
50,106,-11.045064946959844
51,38,-24.947211993559083
52,52,-24.873834474047207
53,58,-30.226686093711866
54,70,-33.64362739273134
55,39,-36.58131665827812
56,38,-24.896610019037798
57,27,-14.371255986349919
58,29,-19.227806645383044
59,34,-17.31608412210726
60,34,-18.166679834991573
61,30,-19.106086796122995
62,26,-20.256029946831553
63,25,-10.939957638519935
64,35,-4.546266002835061
65,25,-1.6203742110139094
66,22,-6.447090262086251
67,72,0.3770378479724441
68,75,10.736675245276292
69,90,18.902774796877647
70,64,19.86877457241348
71,57,33.035611783940844
72,55,41.85571876764301
73,54,50.27960766782052
74,57,47.24085866231372
75,63,36.60780917184172
76,68,32.06029052028941
77,51,27.321629859732663
78,56,20.32113963136591
79,57,10.641130371270323
80,57,-9.21133258933132
81,54,-17.976397339531733
82,63,-17.46277245593061
83,69,-10.469425584796477
84,74,-12.192929763316066
85,83,-18.15754790863668
86,93,-15.795262688507343
87,107,-21.15068371078992
88,117,-34.34862105835222
89,108,-38.48917979774821
90,78,-39.51582207031144
91,101,-40.74279831436983
92,153,-34.755642865291534
93,146,-33.60224364216323
94,182,-36.04329725090562
95,187,-42.666733633324405
96,175,-41.9350720902774
97,165,-41.17527397044914
98,164,-48.74291960981028
99,136,-52.31701744822205
100,77,-46.294863437218154
101,76,-45.06137706681016
102,94,-33.1759026975798
103,88,-33.92810128274959
104,31,-31.156120107307526
105,44,-38.12151859798352
106,35,-42.45467231193505
107,42,-34.89528329528688
108,51,-36.96477109609555
109,58,-24.064843445595624
110,49,-30.273924480003455
