,group,error
0,APA,18.039586679306897
1,APA,32.0362281276612
2,APA,43.8323948918478
3,APA,36.3894303008822
4,APA,97.49203790391041
5,APA,39.574260677756904
6,APA,31.621010182926696
7,APA,7.433539557051951
8,APA,6.84402500933045
9,APA,5.59446417948915
10,APA,11.177006070611801
11,APA,20.5570093041835
12,APA,32.6352372632164
13,APA,51.528638066789
14,APA,12.847569480639802
15,APA,7.83371382886393
16,APA,8.83265515150637
17,APA,8.65179888256311
18,APA,11.7219389164475
19,APA,19.305056532942
20,APA,29.8376051895996
21,APA,44.3555692364881
22,APA,96.6243884026939
23,APA,149.480370534855
24,APA,26.7046661533985
25,APA,6.5210261597109005
26,APA,14.2174893793223
27,APA,8.08082181896853
28,APA,9.12840021329708
29,APA,7.80553725799584
30,APA,12.2119766926951
31,APA,19.4286248485392
32,APA,28.805687737236
33,APA,36.2075921824119
34,APA,61.0575385404266
35,APA,74.76852077705999
36,APA,7.00528080315872
37,APA,47.180824802131006
38,APA,51.2484404006017
39,APA,31.4395325930023
40,APA,24.215998669267698
41,APA,12.7270083271462
42,APA,8.43559628300593
43,APA,7.9140933163452996
44,APA,7.88491230071994
45,APA,10.0349948374357
46,APA,17.0787736078743
47,APA,25.2091140997058
48,APA,33.6223527925059
49,APA,38.8846343134544
50,APA,53.921346752623606
51,APA,88.92047275586019
52,APA,46.6765570572596
53,APA,56.23332283048511
54,APA,37.0762331623304
55,APA,17.0958210130426
56,APA,10.362509319398
57,APA,9.59738370524856
58,APA,7.93238721059628
59,APA,9.96252774963193
60,APA,15.143876130675
61,APA,15.780188483345402
62,APA,23.229128341091197
63,APA,29.8405195543072
64,APA,33.0201454386284
65,APA,40.3602448272324
66,APA,74.3688938147065
67,APA,25.2332820094305
68,APA,34.7644063362328
69,APA,35.2876976612525
70,APA,26.5448023285924
71,APA,11.6186968439652
72,APA,6.73090451216573
73,APA,4.91766349727095
74,APA,4.5996300581476
75,APA,7.36115456874395
76,APA,12.113266448278802
77,APA,14.196487283971601
78,APA,22.9491110066331
79,APA,26.3729580949798
80,APA,32.4305996865076
81,APA,41.9497097661759
82,APA,92.6633128271212
83,APA,28.1411462915095
84,APA,22.8004691203299
85,APA,18.4175635583827
86,APA,10.970816940960699
87,APA,4.76107190644868
88,APA,4.17017500206382
89,APA,5.29350691546462
90,APA,7.9097430275281795
91,APA,9.459793408719321
92,APA,14.165790610236002
93,APA,20.381931047216
94,APA,25.4605933101227
95,APA,33.5715983304578
96,APA,41.27566311546371
97,APA,83.1832966151974
98,APA,42.2095407694785
99,APA,26.260876291988396
100,APA,16.611532696388
101,APA,7.9114823893405
102,APA,3.96106459603394
103,APA,3.31749378138704
104,APA,5.22439898156751
105,APA,8.06607264539261
106,APA,8.36387743025746
107,APA,11.8772631067748
108,APA,19.3869178958959
109,APA,27.605868485423102
110,APA,32.331424745372
111,APA,36.0085064585629
112,APA,37.136211091293895
113,APA,27.2595011167274
114,APA,12.544525569848402
115,APA,6.86772119987953
116,APA,4.21243484118954
117,APA,3.75739238684457
118,APA,8.97469364956777
119,APA,6.6021402900484
120,APA,7.61116920705121
121,APA,15.1121484293674
122,APA,20.6183656551427
123,APA,26.5598125829709
124,APA,31.7033763868551
125,APA,50.1882591298069
126,APA,25.2124561407509
127,APA,10.1773835874678
128,APA,6.112377167897559
129,APA,3.33362748153003
130,APA,4.5466952654009
131,APA,11.084520690743899
132,APA,6.99770136786637
133,APA,8.5476407647639
134,APA,14.1148791541096
135,APA,21.0622268419977
136,APA,29.5340801133153
137,APA,34.9838271437507
138,APA,48.8456152305997
139,APA,67.875594619108
140,APA,67.5888372802934
141,APA,29.1679281338828
142,APA,27.779462932018
143,APA,13.9016839101721
144,APA,7.07931730128701
145,APA,4.63322318111196
146,APA,3.44211959234895
147,APA,4.1219130161079
148,APA,5.9514139765991105
149,APA,9.98791691757775
150,APA,12.703273368432301
151,APA,19.667031808012396
152,APA,30.7031557063127
153,APA,33.17011584921261
154,APA,45.8720820464265
155,APA,75.4358415654037
156,APA,99.9192298500848
157,APA,65.0320830944437
158,APA,72.0783977667765
159,APA,31.480769322353503
160,APA,28.5667633054219
161,APA,18.9019397447444
162,APA,14.9556606290289
163,APA,4.4342590597643605
164,APA,2.20052405748289
165,APA,2.72806983531067
166,APA,3.3075298845467103
167,APA,4.7577940494745
168,APA,10.0878200280325
169,APA,18.5859087446364
170,APA,27.402427440727802
171,APA,28.5516601443708
172,APA,43.2553476346064
173,APA,53.07986088214871
174,APA,46.8812137935531
175,APA,58.119719064871504
176,APA,50.2519190597869
177,APA,46.84690178188949
178,APA,12.316386773173999
179,APA,8.068174442939691
180,APA,8.787978667349241
181,APA,31.4106233970892
182,APA,31.4357747323349
183,APA,25.570085777649897
184,APA,12.1289145467176
185,APA,4.72802079959752
186,APA,1.9830249691938897
187,APA,1.80580655996029
188,APA,1.65953676867203
189,APA,2.86549382346845
190,APA,9.40674338807449
191,APA,16.56733875569
192,APA,25.3787440319247
193,APA,30.3415145493301
194,APA,35.006562710307605
195,APA,40.0090043092309
196,APA,45.62938612972779
197,APA,47.344274055209596
